Month,Day,Hour,RH,Temperature_C,Temperature_F,Date,Count
3,11,0,38.82064878547031,26.886562594485866,80.3958126700745,2019-03-11 00:00:00,108
3,11,1,39.0553557388104,26.867449963124038,80.36140993362324,2019-03-11 01:00:00,108
3,11,2,39.266350351389214,26.881370288423774,80.38646651916277,2019-03-11 02:00:00,108
3,11,3,39.49209805321399,26.877661498379425,80.37979069708297,2019-03-11 03:00:00,108
3,11,4,39.70830711975042,26.829941733142316,80.29389511965617,2019-03-11 04:00:00,108
3,11,5,39.83748143852228,26.7972796554852,80.23510337987334,2019-03-11 05:00:00,108
3,11,6,39.80835680544179,26.786969219161943,80.21654459449145,2019-03-11 06:00:00,108
3,11,7,39.62758906824348,26.810458222776077,80.25882480099692,2019-03-11 07:00:00,108
3,11,8,39.153017232851774,26.798417017765452,80.23715063197781,2019-03-11 08:00:00,108
3,11,9,38.66875131774481,26.765210984235164,80.17737977162331,2019-03-11 09:00:00,108
3,11,10,38.18847043249161,26.772109333717626,80.18979680069172,2019-03-11 10:00:00,108
3,11,11,37.65727443176583,26.7906038334054,80.22308690012969,2019-03-11 11:00:00,108
3,11,12,37.64053469342035,26.582295791820865,79.84813242527758,2019-03-11 12:00:00,106
3,11,13,37.63712318151219,26.50176326475252,79.70317387655452,2019-03-11 13:00:00,108
3,11,14,37.89817116369638,26.472848567042377,79.65112742067625,2019-03-11 14:00:00,107
3,11,15,38.43161377882011,26.6975626538265,80.05561277688768,2019-03-11 15:00:00,108
3,11,16,37.392463282838335,27.619899790087178,81.71581962215691,2019-03-11 16:00:00,113
3,11,17,36.793310869589426,27.938805136104293,82.2898492449877,2019-03-11 17:00:00,111
3,11,18,37.048338154076674,27.67030561167116,81.80655010100811,2019-03-11 18:00:00,115
3,11,19,37.95763492525595,27.53865139037041,81.56957250266672,2019-03-11 19:00:00,106
3,11,20,37.87664772347185,27.663141404785488,81.79365452861387,2019-03-11 20:00:00,107
3,11,21,38.13169121893561,27.619817191213397,81.71567094418405,2019-03-11 21:00:00,107
3,11,22,38.494994844097675,27.488595320662604,81.47947157719267,2019-03-11 22:00:00,106
3,11,23,38.76632802391695,27.360150357880578,81.24827064418504,2019-03-11 23:00:00,108
3,12,0,39.112084634331865,27.314201799851556,81.16556323973282,2019-03-12 00:00:00,107
3,12,1,39.467880310251765,27.450995351982264,81.41179163356803,2019-03-12 01:00:00,102
3,12,2,38.45825130106984,27.70039784720632,81.86071612497142,2019-03-12 02:00:00,96
3,12,3,38.10017093234437,27.77046616311895,81.9868390936141,2019-03-12 03:00:00,96
3,12,4,37.94446860898716,27.76034116629792,81.96861409933622,2019-03-12 04:00:00,96
3,12,5,37.93677410985456,27.683235421276162,81.8298237582971,2019-03-12 05:00:00,96
3,12,6,38.08109366176764,27.644849444317273,81.76072899977113,2019-03-12 06:00:00,96
3,12,7,38.17872159394409,27.58345969710841,81.65022745479514,2019-03-12 07:00:00,96
3,12,8,38.160057664229846,27.550859432618697,81.59154697871368,2019-03-12 08:00:00,96
3,12,9,38.093875433054045,27.559204210218457,81.60656757839324,2019-03-12 09:00:00,96
3,12,10,38.01005191427359,27.517754675083214,81.5319584151498,2019-03-12 10:00:00,95
3,12,11,38.35828640324771,27.37350509269856,81.27230916685743,2019-03-12 11:00:00,96
3,12,12,38.426233616640836,27.304409455774948,81.14793702039485,2019-03-12 12:00:00,95
3,12,13,38.367093743163984,27.33281039393708,81.19905870908676,2019-03-12 13:00:00,96
3,12,14,38.50783630684392,27.415924378830656,81.3486638818952,2019-03-12 14:00:00,96
3,12,15,38.67056542486354,27.571999535871416,81.62959916456856,2019-03-12 15:00:00,96
3,12,16,39.182933219378434,27.622513256275283,81.7205238612955,2019-03-12 16:00:00,96
3,12,17,39.35733126790084,27.615448011240805,81.70780642023348,2019-03-12 17:00:00,96
3,12,18,39.27752468598813,27.781258742147966,82.00626573586631,2019-03-12 18:00:00,96
3,12,19,39.62981259292637,27.843253705332213,82.11785666959801,2019-03-12 19:00:00,95
3,12,20,39.74758254450849,27.936964006564626,82.28653521181636,2019-03-12 20:00:00,94
3,12,21,39.92246023079113,27.899266917628857,82.21868045173197,2019-03-12 21:00:00,94
3,12,22,40.07029656253019,27.898892290379184,82.21800612268255,2019-03-12 22:00:00,96
3,12,23,39.83496353630745,28.038187710062516,82.46873787811253,2019-03-12 23:00:00,95
3,13,0,39.667225630694574,27.97371712952368,82.35269083314259,2019-03-13 00:00:00,96
3,13,1,39.40025512669851,28.20492310088758,82.76886158159759,2019-03-13 01:00:00,96
3,13,2,39.24099171283365,28.43568401744615,83.18423123140307,2019-03-13 02:00:00,96
3,13,3,39.365677573778164,28.468339913786547,83.24301184481574,2019-03-13 03:00:00,96
3,13,4,39.163283630684404,28.455989642938892,83.22078135728997,2019-03-13 04:00:00,96
3,13,5,39.502477501538884,28.27654910861881,82.89778839551381,2019-03-13 05:00:00,96
3,13,6,39.67511090253295,28.318328628468254,82.97299153124287,2019-03-13 06:00:00,96
3,13,7,39.54772242825674,28.32480973907073,82.98465753032728,2019-03-13 07:00:00,96
3,13,8,39.727048771678135,28.222586213473704,82.80065518425262,2019-03-13 08:00:00,96
3,13,9,39.54090849577126,28.31435592873234,82.96584067171814,2019-03-13 09:00:00,95
3,13,10,39.466914289638744,28.34149929427024,83.01469872968643,2019-03-13 10:00:00,96
3,13,11,39.30754728954157,28.35789634305495,83.04421341749891,2019-03-13 11:00:00,95
3,13,12,39.030060691156784,28.338300462857006,83.0089408331426,2019-03-13 12:00:00,96
3,13,13,39.08010673096979,28.111878830650273,82.60138189517052,2019-03-13 13:00:00,96
3,13,14,38.88313391226491,28.120779926756708,82.61740386816206,2019-03-13 14:00:00,96
3,13,15,38.703330637079084,28.22222460644439,82.80000429159993,2019-03-13 15:00:00,96
3,13,16,38.518917021503896,28.283224930698612,82.90980487525752,2019-03-13 16:00:00,96
3,13,17,38.64007358739171,28.450982776379025,83.21176899748225,2019-03-13 17:00:00,96
3,13,18,38.74253877907076,28.464934366128187,83.23688185903073,2019-03-13 18:00:00,95
3,13,19,38.85462015774226,28.518413905838862,83.33314503050995,2019-03-13 19:00:00,94
3,13,20,39.62719398652301,28.179855681777116,82.72374022719883,2019-03-13 20:00:00,95
3,13,21,39.512553647293,28.24357816032412,82.83844068858342,2019-03-13 21:00:00,95
3,13,22,38.507394350075536,28.831668895286967,83.89700401151651,2019-03-13 22:00:00,95
3,13,23,37.54031663181885,29.27077372777904,84.6873927100023,2019-03-13 23:00:00,96
3,14,0,37.81351904420332,28.924827064418498,84.06468871595331,2019-03-14 00:00:00,96
3,14,1,38.91543809044153,28.45610090664022,83.22098163195241,2019-03-14 01:00:00,96
3,14,2,38.93368867929328,28.38792407365021,83.09826333257038,2019-03-14 02:00:00,96
3,14,3,39.27558516347949,28.459967320261427,83.22794117647057,2019-03-14 03:00:00,96
3,14,4,39.1205187491415,28.43412632562753,83.18142738612956,2019-03-14 04:00:00,96
3,14,5,39.06013918776613,28.43501643523818,83.18302958342868,2019-03-14 05:00:00,96
3,14,6,39.26437726701567,28.38950958139417,83.10111724650947,2019-03-14 06:00:00,96
3,14,7,39.4886146849198,28.330289476361234,82.9945210574502,2019-03-14 07:00:00,96
3,14,8,39.14221914442257,28.318022653289592,82.97244077592127,2019-03-14 08:00:00,96
3,14,9,37.661343505735644,28.27373882176259,82.89272987917262,2019-03-14 09:00:00,95
3,14,10,36.63517963157975,28.25540900536608,82.85973620965893,2019-03-14 10:00:00,96
3,14,11,35.64920955839532,28.202230226516168,82.76401440772909,2019-03-14 11:00:00,95
3,14,12,34.75765825231854,28.070127126726177,82.52622882810711,2019-03-14 12:00:00,96
3,14,13,34.26390669434143,27.860812288598964,82.14946211947812,2019-03-14 13:00:00,96
3,14,14,33.51296173353885,27.912633357493448,82.24274004348821,2019-03-14 14:00:00,96
3,14,15,32.617347470862654,28.032130572721954,82.45783503089949,2019-03-14 15:00:00,96
3,14,16,31.96465045353031,28.007318767325348,82.4131737811856,2019-03-14 16:00:00,96
3,14,17,31.441317914079193,28.03523629398514,82.46342532917328,2019-03-14 17:00:00,95
3,14,18,31.136692057509716,28.068545132572797,82.52338123863103,2019-03-14 18:00:00,95
3,14,19,30.90299348481088,28.166757016138423,82.70016262904916,2019-03-14 19:00:00,95
3,14,20,30.637219803603152,28.200474328318947,82.76085379097414,2019-03-14 20:00:00,94
3,14,21,30.267663644827,28.21844164059917,82.79319495307854,2019-03-14 21:00:00,96
3,14,22,29.4752746524523,28.822842755779345,83.88111696040285,2019-03-14 22:00:00,95
3,14,23,28.73946298755145,29.285877775234606,84.71457999542228,2019-03-14 23:00:00,96
3,15,0,28.610182683943034,28.72088069988047,83.69758525978482,2019-03-15 00:00:00,96
3,15,1,28.820573182953567,28.28781455837847,82.91806620508129,2019-03-15 01:00:00,96
3,15,2,28.54228349841532,28.27265487907226,82.89077878233005,2019-03-15 02:00:00,96
3,15,3,28.306345354557426,28.219331750209815,82.7947971503777,2019-03-15 03:00:00,96
3,15,4,28.060534723176072,28.143310826276025,82.65795948729688,2019-03-15 04:00:00,96
3,15,5,27.944799281677177,28.057192721446555,82.50294689860381,2019-03-15 05:00:00,96
3,15,6,28.156763655510286,27.97989226494748,82.36380607690548,2019-03-15 06:00:00,96
3,15,7,27.89303628751229,27.991435873960484,82.38458457312885,2019-03-15 07:00:00,96
3,15,8,27.637735885430338,28.01491368613798,82.42684463504835,2019-03-15 08:00:00,95
3,15,9,27.46484694941726,27.968070496681154,82.34252689402607,2019-03-15 09:00:00,96
3,15,10,27.35553686652417,27.749033260652194,81.94825986917398,2019-03-15 10:00:00,95
3,15,11,27.331035794046866,27.5021815632868,81.50392681391627,2019-03-15 11:00:00,96
3,15,12,27.19051579852368,27.330696383611805,81.19525349050127,2019-03-15 12:00:00,96
3,15,13,26.967693278187312,27.257790843315263,81.06402351796751,2019-03-15 13:00:00,96
3,15,14,26.765283437368044,27.295147631036855,81.13126573586636,2019-03-15 14:00:00,96
3,15,15,26.405168159781038,27.441821005315237,81.39527780956743,2019-03-15 15:00:00,96
3,15,16,26.96348471667825,27.34415423403177,81.21947762125723,2019-03-15 16:00:00,88
3,15,17,28.306440357832596,27.241982349172396,81.0355682285103,2019-03-15 17:00:00,83
3,15,18,28.66934371824709,27.189782472971643,80.94160845134898,2019-03-15 18:00:00,71
3,15,19,29.31574232888275,26.155430744581587,79.07977534024684,2019-03-15 19:00:00,65
3,15,20,30.0754319875537,25.54761044636315,77.98569880345366,2019-03-15 20:00:00,83
3,15,21,29.012051134807997,25.687529242628557,78.2375526367314,2019-03-15 21:00:00,83
3,15,22,28.802663259647836,25.561055161364152,78.00989929045548,2019-03-15 22:00:00,84
3,15,23,28.702135128122958,25.514864830497707,77.92675669489587,2019-03-15 23:00:00,84
3,16,0,28.883169341481693,25.379822486711948,77.68368047608149,2019-03-16 00:00:00,84
3,16,1,28.716833710881595,25.405540296533665,77.72997253376055,2019-03-16 01:00:00,84
3,16,2,28.60109826938268,25.342247145291324,77.61604486152439,2019-03-16 02:00:00,84
3,16,3,28.7199950871486,25.418764782177462,77.75377660791946,2019-03-16 03:00:00,84
3,16,4,30.678491651948754,25.33347861870137,77.60026151366252,2019-03-16 04:00:00,94
3,16,5,30.995255181587513,25.293061562122283,77.52751081182011,2019-03-16 05:00:00,95
3,16,6,31.372332551842753,25.232493302786764,77.4184879450162,2019-03-16 06:00:00,107
3,16,7,31.343091681186984,25.318348541971655,77.57302737554899,2019-03-16 07:00:00,106
3,16,8,31.502428839641254,25.286648569751918,77.51596742555347,2019-03-16 08:00:00,107
3,16,9,31.43266664869481,25.34282530059917,77.61708554107847,2019-03-16 09:00:00,107
3,16,10,30.988242183547655,25.474453147738426,77.85401566592917,2019-03-16 10:00:00,108
3,16,11,30.717867799884804,25.464068535614256,77.83532336410572,2019-03-16 11:00:00,108
3,16,12,30.899872357013532,25.617270218025762,78.11108639244637,2019-03-16 12:00:00,107
3,16,13,30.50420236942527,25.546403674598533,77.98352661427734,2019-03-16 13:00:00,108
3,16,14,29.91759749615771,25.47927457479606,77.8626942346329,2019-03-16 14:00:00,108
3,16,15,29.969318096387976,25.226681247509813,77.40802624551768,2019-03-16 15:00:00,108
3,16,16,29.37465837554355,25.271409255444514,77.4885366598001,2019-03-16 16:00:00,108
3,16,17,28.79465282476438,25.24401365965036,77.4392245873706,2019-03-16 17:00:00,108
3,16,18,28.49788115114794,25.29118946901429,77.52414104422576,2019-03-16 18:00:00,108
3,16,19,28.308055243253577,25.1897664239352,77.34157956308334,2019-03-16 19:00:00,108
3,16,20,28.046611584346277,25.25390584613058,77.45703052303507,2019-03-16 20:00:00,107
3,16,21,27.807510057254405,25.196368070214127,77.35346252638537,2019-03-16 21:00:00,108
3,16,22,27.88251905889986,25.088788433661406,77.15981918059053,2019-03-16 22:00:00,108
3,16,23,27.954855261639594,25.030297001887423,77.05453460339736,2019-03-16 23:00:00,107
3,17,0,28.402890474987288,25.21196971366728,77.38154548460109,2019-03-17 00:00:00,108
3,17,1,28.830998558040978,25.14610160247987,77.26298288446377,2019-03-17 01:00:00,108
3,17,2,28.86432019064835,25.17381862674454,77.31287352814022,2019-03-17 02:00:00,108
3,17,3,28.940625971247005,25.073172001263515,77.13170960227433,2019-03-17 03:00:00,107
3,17,4,28.89369945147321,25.030995779525675,77.05579240314623,2019-03-17 04:00:00,107
3,17,5,28.977582652628058,25.066782946065004,77.12020930291703,2019-03-17 05:00:00,108
3,17,6,29.14933461306489,24.924538485231253,76.86416927341631,2019-03-17 06:00:00,108
3,17,7,29.204532323437142,24.961013199053955,76.92982375829709,2019-03-17 07:00:00,105
3,17,8,29.338453955382356,24.86591487726377,76.75864677907481,2019-03-17 08:00:00,108
3,17,9,29.629689852789078,24.733316505626945,76.51996971012854,2019-03-17 09:00:00,107
3,17,10,29.691157360067514,24.710862728143574,76.47955291065846,2019-03-17 10:00:00,108
3,17,11,29.325708700989786,24.990516589195053,76.98292986055111,2019-03-17 11:00:00,107
3,17,12,29.315886250855648,25.062950529685864,77.11331095343459,2019-03-17 12:00:00,108
3,17,13,29.278607851017536,25.00385714164613,77.006942854963,2019-03-17 13:00:00,108
3,17,14,29.137577361865016,24.996538462625292,76.99376923272555,2019-03-17 14:00:00,108
3,17,15,29.154775168007163,24.836244556909097,76.70524020243636,2019-03-17 15:00:00,108
3,17,16,28.910402397574828,24.822522033745056,76.68053966074109,2019-03-17 16:00:00,108
3,17,17,28.52283704732463,24.89143135276879,76.8045764349839,2019-03-17 17:00:00,108
3,17,18,28.397506445291196,24.98405220280936,76.97129396505683,2019-03-17 18:00:00,108
3,17,19,28.131088828859067,25.02640658511569,77.04753185320818,2019-03-17 19:00:00,108
3,17,20,27.932233012891718,25.175153791160525,77.31527682408888,2019-03-17 20:00:00,108
3,17,21,27.754037174393382,25.354634504039407,77.63834210727093,2019-03-17 21:00:00,108
3,17,22,27.65717852374305,25.522361240943518,77.94025023369835,2019-03-17 22:00:00,107
3,17,23,27.651062307213575,25.668051988052767,78.20249357849498,2019-03-17 23:00:00,108
3,18,0,28.003864631079498,25.34434879298311,77.61982782736962,2019-03-18 00:00:00,108
3,18,1,28.263258985677062,25.226211467437544,77.40718064138757,2019-03-18 01:00:00,108
3,18,2,28.496935013616536,25.079261349254057,77.1426704286573,2019-03-18 02:00:00,107
3,18,3,28.596238278996967,25.018289233320523,77.03292061997693,2019-03-18 03:00:00,106
3,18,4,28.724264761991964,24.979131874683866,76.96243737443093,2019-03-18 04:00:00,108
3,18,5,28.824837306210267,25.0184697744208,77.03324559395742,2019-03-18 05:00:00,108
3,18,6,28.762606476366216,25.257082129526076,77.46274783314692,2019-03-18 06:00:00,106
3,18,7,29.081505374227582,25.29188940203886,77.52540092366993,2019-03-18 07:00:00,107
3,18,8,29.38199199795863,25.22495648683125,77.40492167629625,2019-03-18 08:00:00,107
3,18,9,29.41310967423935,25.21812630514087,77.3926273492536,2019-03-18 09:00:00,108
3,18,10,29.306467401544523,25.430746501298817,77.77534370233784,2019-03-18 10:00:00,107
3,18,11,29.362858730409062,25.537156424754667,77.96688156455836,2019-03-18 11:00:00,108
3,18,12,29.50202388643851,25.602159151598396,78.08388647287704,2019-03-18 12:00:00,108
3,18,13,29.735360102559387,25.616697608572174,78.11005569542989,2019-03-18 13:00:00,108
3,18,14,29.997086123560806,25.503826764889563,77.90688817680119,2019-03-18 14:00:00,108
3,18,15,30.016926484960617,25.475986114290077,77.85677500572211,2019-03-18 15:00:00,108
3,18,16,29.707690994567354,25.380348781680137,77.68462780702423,2019-03-18 16:00:00,108
3,18,17,29.034150292715985,25.41516195756298,77.74729152361333,2019-03-18 17:00:00,108
3,18,18,28.49333086883262,25.511293795512163,77.92032883192184,2019-03-18 18:00:00,108
3,18,19,28.145234271708947,25.58794212309512,78.05829582157115,2019-03-18 19:00:00,108
3,18,20,27.700677342024647,25.689760772445613,78.24156939040206,2019-03-18 20:00:00,108
3,18,21,27.44764947344594,25.83948150699241,78.51106671258631,2019-03-18 21:00:00,107
3,18,22,27.345981422412596,26.01175792409484,78.82116426337073,2019-03-18 22:00:00,108
3,18,23,27.478165710542118,26.074387025310212,78.93389664555833,2019-03-18 23:00:00,108
3,19,0,27.45790140979616,25.88840356722022,78.59912642099643,2019-03-19 00:00:00,108
3,19,1,27.55362638588347,25.61462484553806,78.10632472196848,2019-03-19 01:00:00,107
3,19,2,27.79245241843451,25.50114834835349,77.90206702703625,2019-03-19 02:00:00,107
3,19,3,28.360149200658803,25.09930129366558,77.17874232859806,2019-03-19 03:00:00,107
