Month,Day,Hour,Relative Humidity,Temperature(C),Temperature(F),Date
3,11,0,41.614140581678704,25.085227995218855,77.15341039139392,2019-03-11 00:00:00
3,11,1,41.910855730048986,25.06453294677145,77.11615930418861,2019-03-11 01:00:00
3,11,2,42.35230377119485,25.007343404287784,77.01321812771803,2019-03-11 02:00:00
3,11,3,42.691752005657044,24.97018132804354,76.94632639047838,2019-03-11 03:00:00
3,11,4,43.00614542476179,24.89808244958166,76.81654840924698,2019-03-11 04:00:00
3,11,5,43.118319775753044,24.881615421784804,76.78690775921265,2019-03-11 05:00:00
3,11,6,43.09746195992248,24.854467078660267,76.73804074158848,2019-03-11 06:00:00
3,11,7,43.03132742192309,24.788376440070195,76.61907759212637,2019-03-11 07:00:00
3,11,8,42.431156489578726,24.759002822919058,76.56620508125432,2019-03-11 08:00:00
3,11,9,41.92128463796427,24.709824266931154,76.47768368047608,2019-03-11 09:00:00
3,11,10,41.526639500633365,24.63550011444266,76.3439002059968,2019-03-11 10:00:00
3,11,11,41.216824626467044,24.516893008824805,76.13040741588463,2019-03-11 11:00:00
3,11,12,41.03291973810723,24.421995186472177,75.95959133564992,2019-03-11 12:00:00
3,11,13,40.96157074615021,24.37403041631698,75.87325474937056,2019-03-11 13:00:00
3,11,14,41.202453082632566,24.36757712163983,75.8616388189517,2019-03-11 14:00:00
3,11,15,41.585779039421276,24.689574273289082,76.44123369192036,2019-03-11 15:00:00
3,11,16,36.345634357401224,28.000114442664227,82.4002059967956,2019-03-11 16:00:00
3,11,17,34.420483392600055,29.18173495078965,84.52712291142137,2019-03-11 17:00:00
